City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mola di bari,41.0609,17.0873,20.21,75,100,3.2,IT,1699379656
1,saiha,22.4833,92.9667,16.34,79,8,1.37,IN,1699379656
2,bolands,17.0657,-61.8747,30.61,74,40,3.09,AG,1699379656
3,iqaluit,63.7506,-68.5145,-9.15,78,100,3.09,CA,1699379652
4,grytviken,-54.2811,-36.5092,5.19,70,84,1.19,GS,1699379656
5,hiratacho,35.4333,132.8167,11.01,73,0,1.85,JP,1699379657
6,bredasdorp,-34.5322,20.0403,14.37,60,57,2.42,ZA,1699379657
7,guia lopes da laguna,-21.4578,-56.1142,41.73,12,6,2.36,BR,1699379657
8,port-aux-francais,-49.35,70.2167,3.5,76,76,10.51,TF,1699379657
9,stanley,54.868,-1.6985,7.77,89,20,4.12,GB,1699379657
10,north bay,46.3168,-79.4663,0.06,82,100,7.2,CA,1699379658
11,kilindoni,-7.9139,39.6668,26.45,77,0,4.03,TZ,1699379658
12,carnarvon,-24.8667,113.6333,20.7,76,0,8.31,AU,1699379658
13,puerto deseado,-47.7503,-65.8938,16.17,40,89,3.89,AR,1699379493
14,kochi,9.9399,76.2602,26.99,87,100,1.1,IN,1699379658
15,al ghayzah,16.2079,52.176,27.63,64,19,3.0,YE,1699379658
16,ponta delgada,37.7333,-25.6667,21.22,83,40,8.23,PT,1699379658
17,atafu village,-8.5421,-172.5159,28.29,80,82,6.39,TK,1699379659
18,waitangi,-43.9535,-176.5597,12.68,97,100,0.45,NZ,1699379659
19,lianzhou,24.7811,112.3825,18.24,84,97,0.65,CN,1699379659
20,xinmin,41.9908,122.8253,1.12,86,71,4.33,CN,1699379659
21,the pas,53.8251,-101.2541,-0.99,93,100,5.14,CA,1699379660
22,adamstown,-25.066,-130.1015,22.44,85,100,9.17,PN,1699379660
23,guerrero negro,27.9769,-114.0611,23.24,60,0,7.16,MX,1699379411
24,kongsvinger,60.1905,11.9977,2.48,99,100,0.75,NO,1699379660
25,albany,42.6001,-73.9662,16.87,75,41,6.08,US,1699379556
26,riberalta,-10.9833,-66.1,34.11,62,75,3.09,BO,1699379661
27,longyearbyen,78.2186,15.6401,-13.09,72,40,5.66,SJ,1699379661
28,akbarabad,29.2464,52.7793,16.79,39,0,1.27,IR,1699379662
29,turkestan,43.3333,68.25,14.03,45,98,1.68,KZ,1699379662
30,shalqar,47.8333,59.6,7.98,52,57,3.27,KZ,1699379662
31,oriximina,-1.7656,-55.8661,27.92,72,100,3.14,BR,1699379662
32,saldanha,-33.0117,17.9442,17.03,78,23,6.22,ZA,1699379662
33,klyuchi,52.2667,79.1667,-2.18,79,44,2.03,RU,1699379663
34,puerto natales,-51.7236,-72.4875,11.25,54,75,8.75,CL,1699379663
35,saint-philippe,-21.3585,55.7679,22.77,89,100,5.24,RE,1699379663
36,ushuaia,-54.8,-68.3,7.81,58,75,11.18,AR,1699379663
37,thompson,55.7435,-97.8558,-3.91,74,100,2.57,CA,1699379580
38,bayganin,48.6947,55.8742,9.55,60,100,3.99,KZ,1699379664
39,edinburgh of the seven seas,-37.0676,-12.3116,15.77,90,42,15.35,SH,1699379664
40,sol'-iletsk,51.1631,54.9918,7.8,61,99,6.11,RU,1699379664
41,blackmans bay,-43.0167,147.3167,12.07,94,92,1.69,AU,1699379664
42,taltal,-25.4,-70.4833,20.04,66,8,4.32,CL,1699379664
43,kununurra,-15.7667,128.7333,26.99,83,24,2.06,AU,1699379665
44,port alfred,-33.5906,26.891,16.21,84,15,2.24,ZA,1699379665
45,iskushuban,10.2837,50.23,25.06,72,100,6.01,SO,1699379665
46,papatowai,-46.5619,169.4708,7.82,89,98,2.28,NZ,1699379665
47,kabalo,-6.05,26.9167,23.98,76,72,1.29,CD,1699379665
48,georgetown,5.4112,100.3354,26.96,94,20,1.54,MY,1699379666
49,hawaiian paradise park,19.5933,-154.9731,24.94,97,20,2.06,US,1699379666
50,nar'yan-mar,67.6713,53.087,0.67,99,100,3.9,RU,1699379666
51,east london,-33.0153,27.9116,18.52,68,0,5.66,ZA,1699379666
52,bethel,41.3712,-73.414,16.68,75,0,4.12,US,1699379407
53,tiksi,71.6872,128.8694,-22.92,96,69,3.25,RU,1699379666
54,yellowknife,62.456,-114.3525,-5.33,97,100,3.6,CA,1699379667
55,island harbour,50.724,-1.2758,11.66,83,14,0.89,GB,1699379667
56,patamda,24.3,85.4167,18.39,56,0,1.92,IN,1699379667
57,ust-nera,64.5667,143.2,-27.3,99,99,0.39,RU,1699379667
58,cadale,2.7603,46.3222,27.87,76,76,4.48,SO,1699379667
59,adam,22.3756,57.5233,26.18,29,36,3.93,OM,1699379667
60,tura,25.5198,90.2201,17.9,89,7,1.34,IN,1699379667
61,tazovsky,67.4667,78.7,-4.86,96,100,6.55,RU,1699379668
62,hamilton,39.1834,-84.5333,23.29,44,0,2.57,US,1699379668
63,ust-kamenogorsk,49.9789,82.6103,-2.04,63,31,1.0,KZ,1699379668
64,ar ruways,24.1103,52.7306,27.3,53,5,5.64,AE,1699379668
65,ar raqqah,35.95,39.0167,22.96,37,0,3.34,SY,1699379624
66,basco,20.4487,121.9702,26.96,78,43,10.75,PH,1699379668
67,margaret river,-33.95,115.0667,10.95,92,33,3.45,AU,1699379669
68,san luis de la loma,17.2706,-100.8939,30.0,68,89,1.74,MX,1699379669
69,puerto baquerizo moreno,-0.9,-89.6,29.55,54,20,7.2,EC,1699379669
70,itaporanga,-7.3044,-38.1503,35.76,27,97,2.04,BR,1699379669
71,acapulco de juarez,16.8634,-99.8901,31.54,62,73,2.81,MX,1699379407
72,dunedin,-45.8742,170.5036,10.45,83,100,2.24,NZ,1699379533
73,nguigmi,14.2495,13.1092,30.31,17,60,3.58,NE,1699379670
74,college,64.8569,-147.8028,-8.01,87,100,0.0,US,1699379670
75,margate,51.3813,1.3862,10.39,78,9,2.68,GB,1699379670
76,kailua-kona,19.6406,-155.9956,24.72,87,75,2.57,US,1699379372
77,wailua homesteads,22.0669,-159.378,24.44,88,100,8.75,US,1699379670
78,sovetsk,55.0839,21.8785,8.74,77,100,4.82,RU,1699379670
79,benguela,-12.5763,13.4055,25.49,68,36,2.48,AO,1699379671
80,loei,17.4167,101.5,17.64,93,34,0.67,TH,1699379671
81,preston,53.7667,-2.7167,9.94,76,40,5.66,GB,1699379532
82,la passe,45.5549,-0.8967,10.13,83,50,4.04,FR,1699379671
83,ailuk,10.2197,169.9797,28.11,77,90,9.24,MH,1699379671
84,bardai,11.65,7.2333,26.4,22,47,2.9,NG,1699379671
85,kudahuvadhoo,2.6708,72.8944,26.1,84,100,0.67,MV,1699379672
86,anadyr,64.75,177.4833,-12.72,85,20,3.0,RU,1699379672
87,boa vista,2.8197,-60.6733,33.99,49,75,2.57,BR,1699379672
88,isafjordur,66.0755,-23.124,1.02,75,40,0.0,IS,1699379672
89,beroroha,-21.6667,45.1667,28.86,48,87,1.77,MG,1699379672
90,whitehorse,60.7161,-135.0538,-3.57,79,75,5.14,CA,1699379673
91,badiyah,22.45,58.8,23.59,75,19,5.3,OM,1699379673
92,tarauaca,-8.1614,-70.7656,32.3,52,94,0.8,BR,1699379673
93,qaqortoq,60.7167,-46.0333,3.09,49,100,3.9,GL,1699379673
94,shinyanga,-3.6667,33.4333,24.11,65,46,0.59,TZ,1699379673
95,santa cruz,-17.8,-63.1667,38.03,37,40,8.75,BO,1699379674
96,puerto carreno,6.189,-67.4859,28.99,74,40,1.54,CO,1699379674
97,sihanoukville,10.6093,103.5296,25.97,89,40,1.54,KH,1699379674
98,west island,-12.1568,96.8225,25.99,83,75,5.14,CC,1699379674
99,grand falls-windsor,48.9332,-55.6649,3.61,60,100,2.63,CA,1699379674
100,inhambane,-23.865,35.3833,25.99,94,40,5.36,MZ,1699379674
101,ilulissat,69.2167,-51.1,-0.99,40,75,5.66,GL,1699379674
102,saint-louis,16.3333,-15.0,32.8,19,93,5.05,SN,1699379675
103,i-n-salah,27.1935,2.4607,30.32,9,80,2.84,DZ,1699379675
104,rongelap,11.1635,166.8941,28.01,80,77,9.57,MH,1699379675
105,puerto montt,-41.4698,-72.9447,16.46,59,75,5.66,CL,1699379675
106,jamestown,42.097,-79.2353,11.4,81,100,7.2,US,1699379438
107,tambura,5.6,27.4667,23.41,83,97,2.05,SS,1699379676
108,cidreira,-30.1811,-50.2056,21.13,71,0,9.19,BR,1699379624
109,choma,-16.8065,26.9531,28.36,34,98,2.85,ZM,1699379676
110,kingisepp,59.3733,28.6134,6.11,95,98,2.08,RU,1699379676
111,colonia,50.9333,6.95,10.07,78,75,3.6,DE,1699379534
112,lozuvatka,48.0571,33.2858,11.62,57,19,2.76,UA,1699379676
113,portland,45.5234,-122.6762,12.48,94,75,4.12,US,1699379294
114,caldwell,43.6629,-116.6874,11.66,64,0,3.09,US,1699379441
115,ribeira grande,38.5167,-28.7,20.43,88,75,8.05,PT,1699379677
116,kure,34.2333,132.5667,11.4,69,0,3.23,JP,1699379677
117,labuan bajo,-8.4964,119.8877,25.45,82,25,2.63,ID,1699379677
118,dombarovskiy,50.7587,59.5386,4.16,55,39,4.58,RU,1699379678
119,fortuna,40.5982,-124.1573,14.4,92,75,2.57,US,1699379678
120,george town,5.4112,100.3354,26.96,94,20,1.54,MY,1699379389
121,artesia,33.8658,-118.0831,21.21,77,100,2.57,US,1699379527
122,hithadhoo,-0.6,73.0833,27.16,76,100,2.65,MV,1699379678
123,selfoss,63.9331,-20.9971,3.36,70,31,3.79,IS,1699379678
124,kapit,2.0167,112.9333,23.4,98,97,0.39,MY,1699379678
125,ola,59.5833,151.2833,-19.37,78,4,5.92,RU,1699379678
126,wawa,9.9022,4.4192,29.92,31,47,1.18,NG,1699379679
127,olyokminsk,60.3736,120.4264,-18.42,98,99,1.41,RU,1699379679
128,casalbordino-miracoli,42.1535,14.5991,15.83,85,80,1.71,IT,1699379679
129,wailea,19.8858,-155.123,26.27,81,20,2.06,US,1699379679
130,mount gambier,-37.8333,140.7667,9.49,97,76,1.65,AU,1699379679
131,pico truncado,-46.7949,-67.9573,19.33,18,79,4.8,AR,1699379680
132,port mathurin,-19.6833,63.4167,24.98,78,11,5.24,MU,1699379680
133,bilibino,68.0546,166.4372,-20.14,97,100,0.37,RU,1699379680
134,berezovyy,51.6667,135.7,-8.83,89,86,1.42,RU,1699379681
135,okakarara,-20.5833,17.4333,24.92,13,0,3.28,NA,1699379681
136,vorgashor,67.5833,63.95,0.17,99,100,2.97,RU,1699379681
137,chibougamau,49.9168,-74.3659,-3.21,93,100,3.6,CA,1699379681
138,middlesboro,36.6084,-83.7166,25.26,43,40,4.12,US,1699379681
139,queenstown,-31.8976,26.8753,12.9,80,59,4.32,ZA,1699379682
140,kingscliff,-28.2667,153.5667,17.07,94,83,0.0,AU,1699379682
141,merizo village,13.2658,144.6691,28.31,91,57,5.33,GU,1699379682
